bank_name,loan_type,interest_rate,tenure_years,min_amount,max_amount,processing_fee,employment_type,location,description
PNB,Education Loan,8.59,2,200000,1000000,₹9411,Salaried,Dilsukhnagar,"PNB offers a education loan at 8.59% for up to ₹1000000 in Dilsukhnagar, Hyderabad."
Kotak,Education Loan,13.81,20,200000,2000000,₹2766,Government,Banjara Hills,"Kotak offers a education loan at 13.81% for up to ₹2000000 in Banjara Hills, Hyderabad."
HDFC,Vehicle Loan,10.07,2,50000,1000000,₹1107,Salaried,Begumpet,"HDFC offers a vehicle loan at 10.07% for up to ₹1000000 in Begumpet, Hyderabad."
Kotak,Personal Loan,9.16,20,50000,500000,₹7748,Self-Employed,Gachibowli,"Kotak offers a personal loan at 9.16% for up to ₹500000 in Gachibowli, Hyderabad."
Yes Bank,Vehicle Loan,13.7,15,200000,1000000,₹2781,Government,Miyapur,"Yes Bank offers a vehicle loan at 13.7% for up to ₹1000000 in Miyapur, Hyderabad."
PNB,Vehicle Loan,13.82,5,200000,2000000,₹7717,Self-Employed,Gachibowli,"PNB offers a vehicle loan at 13.82% for up to ₹2000000 in Gachibowli, Hyderabad."
BOB,Vehicle Loan,11.74,1,200000,1000000,₹8260,Government,Ameerpet,"BOB offers a vehicle loan at 11.74% for up to ₹1000000 in Ameerpet, Hyderabad."
ICICI,Home Loan,7.33,2,50000,500000,₹1323,Self-Employed,Kondapur,"ICICI offers a home loan at 7.33% for up to ₹500000 in Kondapur, Hyderabad."
Kotak,Personal Loan,7.49,1,200000,500000,₹9741,Salaried,Secunderabad,"Kotak offers a personal loan at 7.49% for up to ₹500000 in Secunderabad, Hyderabad."
Yes Bank,Home Loan,8.06,1,200000,2000000,₹3672,Pensioner,Jubilee Hills,"Yes Bank offers a home loan at 8.06% for up to ₹2000000 in Jubilee Hills, Hyderabad."
IDFC First,Vehicle Loan,13.13,15,200000,500000,₹4136,Pensioner,Secunderabad,"IDFC First offers a vehicle loan at 13.13% for up to ₹500000 in Secunderabad, Hyderabad."
IDFC First,Personal Loan,12.01,15,200000,2000000,₹1163,Self-Employed,Banjara Hills,"IDFC First offers a personal loan at 12.01% for up to ₹2000000 in Banjara Hills, Hyderabad."
Canara,Vehicle Loan,11.84,10,50000,2000000,₹2114,Self-Employed,Jubilee Hills,"Canara offers a vehicle loan at 11.84% for up to ₹2000000 in Jubilee Hills, Hyderabad."
Axis,Personal Loan,8.93,20,50000,1000000,₹8156,Pensioner,Jubilee Hills,"Axis offers a personal loan at 8.93% for up to ₹1000000 in Jubilee Hills, Hyderabad."
SBI,Education Loan,13.63,20,50000,1000000,₹2822,Government,Gachibowli,"SBI offers a education loan at 13.63% for up to ₹1000000 in Gachibowli, Hyderabad."
Canara,Personal Loan,7.75,2,100000,1000000,₹6287,Pensioner,LB Nagar,"Canara offers a personal loan at 7.75% for up to ₹1000000 in LB Nagar, Hyderabad."
SBI,Home Loan,9.4,20,50000,500000,₹5976,Self-Employed,Madhapur,"SBI offers a home loan at 9.4% for up to ₹500000 in Madhapur, Hyderabad."
Axis,Home Loan,13.99,15,200000,500000,₹9566,Government,Gachibowli,"Axis offers a home loan at 13.99% for up to ₹500000 in Gachibowli, Hyderabad."
Canara,Home Loan,12.18,5,100000,500000,₹9046,Government,Mehdipatnam,"Canara offers a home loan at 12.18% for up to ₹500000 in Mehdipatnam, Hyderabad."
PNB,Education Loan,7.25,3,200000,2000000,₹7558,Self-Employed,Hitech City,"PNB offers a education loan at 7.25% for up to ₹2000000 in Hitech City, Hyderabad."
ICICI,Personal Loan,14.62,1,200000,1000000,₹3303,Government,Banjara Hills,"ICICI offers a personal loan at 14.62% for up to ₹1000000 in Banjara Hills, Hyderabad."
SBI,Education Loan,7.17,3,200000,1000000,₹8455,Salaried,Attapur,"SBI offers a education loan at 7.17% for up to ₹1000000 in Attapur, Hyderabad."
SBI,Personal Loan,10.96,20,100000,500000,₹6807,Pensioner,Madhapur,"SBI offers a personal loan at 10.96% for up to ₹500000 in Madhapur, Hyderabad."
Yes Bank,Personal Loan,14.7,1,100000,500000,₹5807,Government,Hitech City,"Yes Bank offers a personal loan at 14.7% for up to ₹500000 in Hitech City, Hyderabad."
